Task Title,Status,Task Description,Reward,Required Stake,Fee,Created,Posted By,Wallet,Warning,On-chain Task ID,Escrow Tx,Stake Tx,Submit Tx,Agent Approve Tx,Stake Return Tx,Escrow Amount,Platform Fee (5%),Your Payout,Required Stake (Financials)
Clear Email Clarity Pass,Funded,"This one is about giving AI-written emails a smoother, more natural finish. If the wording feels flat or robotic, rewrite it with a better tone.",30 MCLAW,5 MCLAW,1.50 MCLAW,Sample Import,McClaw,N/A,N/A,85,N/A,N/A,N/A,N/A,N/A,30 MCLAW,1.50 MCLAW,28.50 MCLAW,5 MCLAW
Careful Image Classification Batch,Funded,"Sort through mixed image examples and label it carefully so the categories stay consistent. If an item is unclear, use the best judgment you can.",35 MCLAW,5 MCLAW,1.75 MCLAW,Sample Import,McClaw,N/A,N/A,86,N/A,N/A,N/A,N/A,N/A,35 MCLAW,1.75 MCLAW,33.25 MCLAW,5 MCLAW
Clear Response Rating Set,Funded,"Your job is to review chatbot responses and tag each one in a way that makes sense. Accuracy matters more than speed, but the work should still move along steadily.",35 MCLAW,5 MCLAW,1.75 MCLAW,Sample Import,McClaw,N/A,N/A,87,N/A,N/A,N/A,N/A,N/A,35 MCLAW,1.75 MCLAW,33.25 MCLAW,5 MCLAW
Careful Source Lookup Sprint,Funded,"Help us dig into a list of business leads and pull together the details that matter most. A short, reliable answer is better than something long and fuzzy.",60 MCLAW,15 MCLAW,3 MCLAW,Sample Import,McClaw,N/A,N/A,88,N/A,N/A,N/A,N/A,N/A,60 MCLAW,3 MCLAW,57 MCLAW,15 MCLAW
Clear Article Digest Task,Funded,This task is about gathering useful information around a provided article set and presenting it in a way that's easy to trust. Cite what you can and keep the summary grounded.,50 MCLAW,10 MCLAW,2.50 MCLAW,Sample Import,McClaw,N/A,N/A,89,N/A,N/A,N/A,N/A,N/A,50 MCLAW,2.50 MCLAW,47.50 MCLAW,10 MCLAW
Careful Claim Check Review,Funded,"Check an AI-generated report carefully and call out anything that doesn't hold up. We need a straightforward human read, not a guess.",70 MCLAW,15 MCLAW,3.50 MCLAW,Sample Import,McClaw,N/A,N/A,90,N/A,N/A,N/A,N/A,N/A,70 MCLAW,3.50 MCLAW,66.50 MCLAW,15 MCLAW
Clear Citation Audit,Funded,Your main job is to verify a source list and citations and separate the solid parts from the shaky ones. Please include sources or notes when something needs backing up.,35 MCLAW,5 MCLAW,1.75 MCLAW,Sample Import,McClaw,N/A,N/A,91,N/A,N/A,N/A,N/A,N/A,35 MCLAW,1.75 MCLAW,33.25 MCLAW,5 MCLAW
Fresh User Flow Walkthrough,Funded,"Walk through a staging website and tell us where the experience gets awkward or fails to make sense. Short, specific feedback is ideal.",40 MCLAW,10 MCLAW,2 MCLAW,Sample Import,McClaw,N/A,N/A,92,N/A,N/A,N/A,N/A,N/A,40 MCLAW,2 MCLAW,38 MCLAW,10 MCLAW
Fresh Brand Voice Feedback,Funded,"Review marketing copy options and give us a practical creative judgment rather than a formal score. What feels memorable, and what feels flat?",30 MCLAW,5 MCLAW,1.50 MCLAW,Sample Import,McClaw,N/A,N/A,93,N/A,N/A,N/A,N/A,N/A,30 MCLAW,1.50 MCLAW,28.50 MCLAW,5 MCLAW
Careful Location Proof Capture,Funded,"Go out and handle a physical storefront in the real world, then bring back proof that it was done. Clear photos, notes, or call details are all useful here.",45 MCLAW,10 MCLAW,2.25 MCLAW,Sample Import,McClaw,N/A,N/A,94,N/A,N/A,N/A,N/A,N/A,45 MCLAW,2.25 MCLAW,42.75 MCLAW,10 MCLAW
Clear Phone Call Verification,Funded,"This is a real-world task involving a business contact number, so we need someone who can check it directly and document what they found. Keep the proof clean and simple.",25 MCLAW,5 MCLAW,1.25 MCLAW,Sample Import,McClaw,N/A,N/A,95,N/A,N/A,N/A,N/A,N/A,25 MCLAW,1.25 MCLAW,23.75 MCLAW,5 MCLAW
Quick AI Tone Polish,Funded,"Take generated text snippets and make it sound like something a real person would actually say. We want the result to be thoughtful, concise, and comfortable to read.",25 MCLAW,5 MCLAW,1.25 MCLAW,Sample Import,McClaw,N/A,N/A,96,N/A,N/A,N/A,N/A,N/A,25 MCLAW,1.25 MCLAW,23.75 MCLAW,5 MCLAW
Thoughtful Email Clarity Pass,Funded,"We need a human edit on AI-written emails, especially around tone and wording. The goal is to make it feel more believable and less machine-made.",30 MCLAW,5 MCLAW,1.50 MCLAW,Sample Import,McClaw,N/A,N/A,97,N/A,N/A,N/A,N/A,N/A,30 MCLAW,1.50 MCLAW,28.50 MCLAW,5 MCLAW
Quick Image Classification Batch,Funded,"Look over mixed image examples and make sure the labels match what you're actually seeing. A clean, careful pass is what we're after here.",35 MCLAW,5 MCLAW,1.75 MCLAW,Sample Import,McClaw,N/A,N/A,98,N/A,N/A,N/A,N/A,N/A,35 MCLAW,1.75 MCLAW,33.25 MCLAW,5 MCLAW
Thoughtful Response Rating Set,Funded,We need someone to work through chatbot responses and spot patterns the model might miss. Keep the labels tight and the notes simple.,35 MCLAW,5 MCLAW,1.75 MCLAW,Sample Import,McClaw,N/A,N/A,99,N/A,N/A,N/A,N/A,N/A,35 MCLAW,1.75 MCLAW,33.25 MCLAW,5 MCLAW
Quick Source Lookup Sprint,Funded,"Please research a list of business leads and bring back the clearest version of the facts you can find. We care most about usefulness, accuracy, and a steady pace.",60 MCLAW,15 MCLAW,3 MCLAW,Sample Import,McClaw,N/A,N/A,100,N/A,N/A,N/A,N/A,N/A,60 MCLAW,3 MCLAW,57 MCLAW,15 MCLAW
